study_id,analyte,analyte_unit,interferent,interferent_unit,interferent_concentration,pool_level,baseline_value,measured_value,replicate,bias_absolute,bias_percent,study_date,technician_id,instrument_id,lot_number
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,Low,96.0,97.192,1,0.0,0.0,2026-03-11 12:02:36.352853,TECH01,CHEM02,LOT2024013
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,Low,96.0,95.668,2,0.0,0.0,2026-04-15 12:02:36.352884,TECH02,CHEM01,LOT2024003
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,Low,96.0,97.554,3,0.0,0.0,2026-03-08 12:02:36.352896,TECH01,CHEM03,LOT2024002
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,Low,96.0,99.655,4,0.0,0.0,2026-01-31 12:02:36.352900,TECH04,CHEM02,LOT2024011
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,Low,96.0,95.438,5,0.0,0.0,2026-04-09 12:02:36.352903,TECH01,CHEM02,LOT2024003
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,Low,96.0,95.438,1,-0.562,-0.59,2026-04-08 12:02:36.352907,TECH05,CHEM01,LOT2024018
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,Low,96.0,99.79,2,3.79,3.95,2026-04-06 12:02:36.352910,TECH04,CHEM02,LOT2024018
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,Low,96.0,97.842,3,1.842,1.92,2026-04-01 12:02:36.352913,TECH05,CHEM01,LOT2024015
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,Low,96.0,94.873,4,-1.127,-1.17,2026-02-03 12:02:36.352916,TECH03,CHEM03,LOT2024008
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,50,Low,96.0,97.302,5,1.302,1.36,2026-01-28 12:02:36.352919,TECH04,CHEM03,LOT2024001
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,Low,96.0,94.888,1,-1.112,-1.16,2026-03-28 12:02:36.352923,TECH04,CHEM01,LOT2024007
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,Low,96.0,94.882,2,-1.118,-1.16,2026-03-22 12:02:36.352926,TECH02,CHEM03,LOT2024003
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,Low,96.0,96.581,3,0.581,0.6,2026-01-26 12:02:36.352930,TECH05,CHEM01,LOT2024018
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,Low,96.0,91.408,4,-4.592,-4.78,2026-02-22 12:02:36.352933,TECH01,CHEM03,LOT2024007
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,100,Low,96.0,91.86,5,-4.14,-4.31,2026-03-05 12:02:36.352936,TECH03,CHEM03,LOT2024005
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,Low,96.0,94.651,1,-1.349,-1.41,2026-01-27 12:02:36.352939,TECH01,CHEM03,LOT2024019
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,Low,96.0,93.569,2,-2.431,-2.53,2026-03-16 12:02:36.352942,TECH05,CHEM02,LOT2024020
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,Low,96.0,96.754,3,0.754,0.79,2026-04-01 12:02:36.352945,TECH01,CHEM02,LOT2024009
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,Low,96.0,93.821,4,-2.179,-2.27,2026-01-31 12:02:36.352947,TECH02,CHEM02,LOT2024007
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,200,Low,96.0,92.61,5,-3.39,-3.53,2026-02-26 12:02:36.352950,TECH01,CHEM01,LOT2024018
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,Low,96.0,0.001,1,-95.999,-100.0,2026-02-01 12:02:36.352954,TECH05,CHEM03,LOT2024003
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,Low,96.0,0.001,2,-95.999,-100.0,2026-03-25 12:02:36.352957,TECH04,CHEM01,LOT2024003
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,Low,96.0,0.001,3,-95.999,-100.0,2026-04-20 12:02:36.352960,TECH05,CHEM01,LOT2024014
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,Low,96.0,0.001,4,-95.999,-100.0,2026-03-05 12:02:36.352963,TECH03,CHEM03,LOT2024019
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,500,Low,96.0,0.001,5,-95.999,-100.0,2026-03-15 12:02:36.352966,TECH03,CHEM03,LOT2024011
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,Low,96.0,0.001,1,-95.999,-100.0,2026-03-12 12:02:36.352969,TECH02,CHEM01,LOT2024007
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,Low,96.0,0.001,2,-95.999,-100.0,2026-04-04 12:02:36.352972,TECH02,CHEM01,LOT2024016
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,Low,96.0,0.001,3,-95.999,-100.0,2026-02-12 12:02:36.352975,TECH01,CHEM03,LOT2024008
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,Low,96.0,0.001,4,-95.999,-100.0,2026-02-02 12:02:36.352977,TECH01,CHEM01,LOT2024003
1,Glucose,mg/dL,Hemolysis,mg/dL Hb,1000,Low,96.0,0.001,5,-95.999,-100.0,2026-02-07 12:02:36.352980,TECH03,CHEM01,LOT2024008
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,Medium,135.0,132.969,1,0.0,0.0,2026-03-30 12:02:36.352984,TECH01,CHEM02,LOT2024001
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,Medium,135.0,141.251,2,0.0,0.0,2026-03-18 12:02:36.352986,TECH04,CHEM01,LOT2024006
2,Glucose,mg/dL,Hemolysis,mg/dL Hb,0,Medium,135.0,134.954,3,0.0,0.0,2026-04-03 12:02:36.352989,TECH04,CHEM03,LOT2024002
